"nace","year","market_EU28"
1310,2014,51422885.420151
1310,2015,51025142.710652
1310,2016,50008219.269828
1320,2005,140931379.962744
1320,2006,141763731.1134
1320,2007,143110720.047672
1320,2008,122972221.707062
1320,2009,89350440.001886
1320,2010,95249845.035376
1320,2011,105492308.330044
1320,2012,103598077.017456
1320,2013,95750659.259724
1320,2014,96513698.92542
1320,2015,96034947.103304
1320,2016,92779525.744134
1330,2005,60661137.463983
1330,2006,61389825.1472
1330,2007,60055702.775172
1330,2008,56283447.763928
1330,2009,46807364.619781
1330,2010,47329023.771776
1330,2011,47244184.365979
1330,2012,47043159.001069
1330,2013,47951363.756352
1330,2014,47370928.04227
1330,2015,46705846.372592
1330,2016,34187244.869826
1391,2005,134134.686
1391,2006,28442346.4237
1391,2007,26296488.787419
1391,2008,22740839.995584
1391,2009,18814122.212907
1391,2010,19868842.646132
1391,2011,20242990.436123
1391,2012,20375645.624782
1391,2013,21368073.051696
1391,2014,20522916.882482
1391,2015,22931267.73542
1391,2016,22555087.93767
1392,2005,80291242.029047
1392,2006,83122479.8888
1392,2007,86634083.159676
1392,2008,80686105.068528
1392,2009,69888382.258214
1392,2010,73362617.255924
1392,2011,73807018.971591
1392,2012,76274791.509322
1392,2013,74425275.696996
1392,2014,77944401.288362
1392,2015,80063571.243964
1392,2016,79547148.918162
1393,2005,43296262.216452
1393,2006,45535672.1974
1393,2007,46034890.826373
1393,2008,42401773.707222
1393,2009,34160897.647664
1393,2010,36765478.758494
1393,2011,38376102.817381
1393,2012,37341472.678986
1393,2013,35877427.873056
1393,2014,37178664.506991
1393,2015,39704954.726228
1393,2016,40095406.039488
1394,2005,7643493.687389
1394,2006,8001391.4882
1394,2007,8231026.019454
1394,2008,8636366.52381
1394,2009,7754034.338834
1394,2010,8517217.36273
1394,2011,9289967.753223
1394,2012,9326141.640382
1394,2013,9157066.917222
1394,2014,10417583.082004
1394,2015,10852774.194328
1394,2016,11030857.175562
1395,2005,28828964.455893
1395,2006,31667631.4273
1395,2007,33101725.213656
1395,2008,32546623.849476
1395,2009,27740278.367902
1395,2010,32339732.565674
1395,2011,36343009.91439
1395,2012,36633661.283898
1395,2013,38567425.02669
1395,2014,40572316.071385
1395,2015,43217792.966788
1395,2016,41653456.105272
1396,2005,55023628.005724
1396,2006,57258468.3484
1396,2007,57155829.117156
1396,2008,53743383.821478
1396,2009,43158947.356064
1396,2010,47853713.048574
1396,2011,51852098.135551
1396,2012,50076658.739842
1396,2013,51272462.804808
1396,2014,51943271.070397
1396,2015,56414982.805016
1396,2016,55336277.275482
1399,2005,16164444.327101
1399,2006,15580754.5575
1399,2007,14587083.627003
1399,2008,15295565.318274
1399,2009,11852368.980473
1399,2010,13494634.639366
1399,2011,13391953.35105
1399,2012,13220883.369855
1399,2013,14177332.920702
1399,2014,15846110.568722
1399,2015,17181141.320596
1399,2016,16847196.22497
1411,2005,8024376.580213
1411,2006,12771471.02
1411,2007,11799005.486742
1411,2008,5205835.60654
1411,2009,5067479.101791
1411,2010,6111584.092142
1411,2011,6013366.659074
1411,2012,6624380.108675
1411,2013,6039018.886698
1411,2014,7207236.144059
1411,2015,5612843.938592
1411,2016,5441657.447058
1412,2005,12216309.075523
1412,2006,12317219.2891
1412,2007,11501646.545781
1412,2008,13372020.953936
1412,2009,9604375.588577
1412,2010,9623166.108462
1412,2011,9891076.432943
1412,2012,9589464.332007
1412,2013,10031008.163946
1412,2014,10388293.404615
1412,2015,10791979.373956
1412,2016,11317647.743322
1413,2005,125444517.001972
1413,2006,132875266.1577
1413,2007,126732732.575697
1413,2008,130896505.434002
1413,2009,95996330.713151
1413,2010,88585562.12291
1413,2011,86594645.014393
1413,2012,93274926.811885
1413,2013,88807501.757184
1413,2014,85923083.850065
1413,2015,78924893.43244
1413,2016,81860555.605236
1414,2005,70147872.746749
1414,2006,71360090.835
1414,2007,70984550.960073
1414,2008,63177017.645108
1414,2009,50377849.420532
1414,2010,49479383.677982
1414,2011,46906027.206256
1414,2012,47077422.586922
1414,2013,48752530.01472
1414,2014,47230652.180873
1414,2015,46883554.309064
1414,2016,46772533.725504
1419,2005,36127545.702087
1419,2006,35600844.6937
1419,2007,35417825.849169
1419,2008,34460505.27151
1419,2009,30264885.091946
1419,2010,29265482.222972
1419,2011,28508108.12328
1419,2012,28827615.478977
1419,2013,28911963.546354
1419,2014,29987813.88365
1419,2015,27580576.050192
1419,2016,27581100.082902
1420,2005,2237180.264305
1420,2006,2487214.5177
1420,2007,2220346.154061
1420,2008,2379835.06119
1420,2009,2201029.886839
1420,2010,2501026.581682
1420,2011,2873721.189003
1420,2012,3499910.288931
1420,2013,4401820.304112
1420,2014,4667286.609503
1420,2015,4356671.242352
1420,2016,5367458.20515
1431,2005,24634341.814936
1431,2006,24076952.9033
1431,2007,26469200.01015
1431,2008,25372239.619534
1431,2009,21941361.476632
1431,2010,22463683.697316
1431,2011,23609139.438323
1431,2012,23808063.423396
1431,2013,21678019.325634
1431,2014,22323818.30378
1431,2015,21099688.585096
1431,2016,20688142.392504
1439,2005,43049745.019365
1439,2006,46126858.0861
1439,2007,39135933.919107
1439,2008,35896376.74443
1439,2009,27521299.018494
1439,2010,26526549.53442
1439,2011,25886103.056542
1439,2012,26917630.853638
1439,2013,25999927.352616
1439,2014,23796576.93574
1439,2015,18344678.552596
1439,2016,19969140.868368
1511,2005,7448797.19066
1511,2006,65669334.5902
1511,2007,67845693.428181
1511,2008,55937870.825002
1511,2009,44387295.813526
