"sigmaBW","cdf_EU","cdf_DK","cdf_DK_food","cdf_DK_cpg"
3.575,0.725547120375519,0.753254966074933,0.184912211653267,0.349375685094902
3.6,0.732215868024072,0.754036652863567,0.184912211653267,0.349419417085165
3.65,0.732422882138205,0.754473224206287,0.184912211653267,0.349419417085165
3.7,0.74276268221459,0.763732374661773,0.204047592466797,0.3638725682399
3.76,0.742997983568633,0.764295806142891,0.204047592466797,0.3638725682399
3.76,0.743013149583411,0.764295806142891,0.204047592466797,0.3638725682399
3.8,0.744953599819502,0.76463311808101,0.204047592466797,0.3638725682399
3.9,0.75703293935461,0.767295844978247,0.204047592466797,0.369363106036088
4,0.762758949982353,0.769202451443128,0.214129581238517,0.376675447923552
4.05,0.763071879994236,0.771373041163929,0.214129581238517,0.376675447923552
4.06666666666667,0.763912824549876,0.772394602316694,0.214129581238517,0.376675447923552
