kurstype	valuta	tid	Månedsgennemsnit	
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2014M08	745.5105
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2014M09	744.4877
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2014M10	744.4804
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2014M11	744.1535
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2014M12	743.9995
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2015M01	744.0595
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2015M02	745.0090
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2015M03	745.9314
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2015M04	746.5258
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2015M05	746.1094
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2015M06	746.0267
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2015M07	746.1626
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2015M08	746.2657
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2015M09	746.0991
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2015M10	746.0055
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2015M11	746.0167
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2015M12	746.1075
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2016M01	746.1905
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2016M02	746.2776
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2016M03	745.7020
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2016M04	744.2820
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2016M05	743.8547
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2016M06	743.7059
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2016M07	743.9019
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2016M08	744.0800
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2016M09	744.7450
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2016M10	744.0229
